quarter,year,*no sp recorded,Microtus californiucs,Neotoma fuscipes,Peromyscus californicus,Peromyscus sp.,Peromyscus truei,Sorex sp.
fall,2009,NA,NA,NA,NA,NA,NA,3
fall,2010,2,NA,NA,NA,NA,9,10
spring,2010,4,NA,NA,NA,NA,NA,1
fall,2011,NA,NA,NA,1,NA,2,8
spring,2011,5,NA,NA,2,NA,3,1
winter,2011,1,NA,NA,NA,NA,3,4
fall,2012,4,1,1,1,NA,3,4
spring,2012,1,NA,3,1,NA,3,5
summer,2012,1,NA,3,3,NA,3,12
winter,2012,8,NA,NA,1,NA,1,5
fall,2013,1,NA,1,NA,NA,3,11
spring,2013,5,NA,2,2,1,1,4
summer,2013,1,NA,NA,NA,1,NA,18
winter,2013,1,NA,NA,NA,NA,1,9
fall,2014,NA,NA,NA,5,1,7,10
summer,2014,4,NA,NA,NA,NA,2,5
fall,2015,3,NA,NA,2,NA,NA,7
spring,2015,4,NA,NA,2,NA,NA,2
summer,2015,6,NA,3,1,NA,4,2
winter,2015,2,NA,NA,2,2,5,6
fall,2016,7,NA,NA,3,NA,2,4
spring,2016,1,NA,1,1,NA,3,NA
summer,2016,13,NA,3,2,2,3,6
winter,2016,13,NA,3,2,2,3,6
fall,2017,4,2,5,3,NA,1,10
spring,2017,6,NA,1,3,NA,3,11
winter,2017,5,NA,1,1,NA,3,2
fall,2018,2,NA,1,3,NA,6,7
spring,2018,6,1,2,1,NA,4,5
winter,2018,6,NA,NA,1,NA,NA,3
